2025-03-19 05:39:21,983 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,008 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,094 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,129 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,182 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,219 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,287 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,322 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,399 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,461 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,522 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,584 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,626 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,709 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,745 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,801 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,825 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,889 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:22,923 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:23,013 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:23,110 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:23,184 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:23,207 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:23,305 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:23,396 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:23,427 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:23,499 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:23,554 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:23,608 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:23,658 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:23,733 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:23,832 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:23,926 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:23,982 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:24,065 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:24,175 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:24,223 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:24,265 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:24,299 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:24,325 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:24,424 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:24,490 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:24,543 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:24,610 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:24,632 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:24,684 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:24,736 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:24,759 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:24,810 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:24,869 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:24,934 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,008 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,038 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,098 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,123 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,182 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,212 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,299 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,336 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,415 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,499 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,570 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,638 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,695 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,735 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,800 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,836 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,918 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:25,957 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:26,001 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:26,050 - Position: x=-107.12, y=103.11, angle=0.00бу
